№,Организация,Телефон,Доп. телефон,Адрес,Часы работы,Рабочее время,Нерабочее время,Выходные,Неявки,Заметки
17,"Медцентр ""ДНК КЛИНИКА""",+7 (7142) 91 45 34,+7 771 058 99 81,"ул. Баймагамбетова, д. 30Б",,,,,,
18,Кабинет ревматолога на Толстого 50,+7 708 657 65 86,,"ул. Толстого, д. 50 (аптека №59)",,,,,,
19,"Медцентр ""ADAM""",+7 771 293 01 95,+7 (7142) 57 90 82,"пр. Назарбаева, д. 187/1",,,,,,
20,"Стоматология ""ОДОНТИК""",+7 777 236 38 15,,"ул. Урожайная, д. 16",09:00-18:00,,,,,
21,"Диагностический центр ""МАГНЕСИЯ""",+7 (7142) 52 40 81,+7 (7142) 52 22 56,"ул. Баймагамбетова, д. 213",,,,,,
22,"Медцентр ""МАРИЯМ""",+7 (7142) 51 12 63,+7 701 851 13 90,"ул. Гоголя, д. 92",,,,,,
23,"Наркологический центр ""НАДЕЖДА""",+7 (7142) 54 92 26,+7 777 969 07 69,"ул. 5 Апреля, д. 67",,,,,,
24,"Детский медцентр ""МЕДИОНИКА""",+7 (7142) 50 34 35,+7 (7142) 50 18 55,"ул. Краснопартизанская, д. 73А",,,,,,
25,Кабинет гастроэнтеролога при аптеке №59,+7 775 862 52 99,,"ул. Леонида Беды, д. 26",,,,,,
26,"Наркологический центр ""АЛЬТЕРНАТИВА KST""",+7 (7142) 91 71 03,+7 707 491 71 03,"ул. Майлина, д. 81",,,,,,
27,"Стоматологический центр ""КОКТЕМ-3""",+7 (7142) 54 96 05,+7 747 752 82 53,"ул. Тауелсиздик, д. 87",,,,,,
28,"Медицинский кабинет ""DOSMED""",+7 (7142) 54 50 58,+7 777 256 26 90,"ул. Баймагамбетова, д. 168",,,,,,
29,"Стоматология ""ТУЛЕШ""",+7 (7142) 22 65 55,+7 776 999 32 29,"мкр 7, д. 15",,,,,,
30,"Стоматология ""MIA DENTA""",+7 (7142) 39 66 43,+7 777 972 44 55,"ул. Алтынсарина, д. 32",,,,,,
31,"Медцентр ""МЕДИКУС""",+7 (7142) 28 25 43,+7 777 298 53 42,"ул. Строительная, д. 6",,,,,,
32,"Стоматология ""ДЕНТАЛ-СЕРВИС""",+7 707 370 17 99,,"ул. Абая, д. 63",09:00-18:00,,,,,
33,"Стоматология ""ЭРА""",+7 (7142) 56 46 46,+7 747 601 93 60,"ул. Каирбекова, д. 377",,,,,,
34,"Стоматологический кабинет ""ТОТЫ""",+7 (7142) 91 73 29,+7 701 473 36 63,"ул. Алтынсарина, д. 153",,,,,,
35,"Стоматологический кабинет ""НАРИ-С""",+7 (7142) 26 16 78,+7 747 430 62 39,"пр. Абая, д. 12",10:00-17:00,,,,,
36,Кабинет педиатра на Чкалова 14А,+7 701 497 77 58,+7 (7142) 22 82 77,"ул. Чкалова, д. 14А",,,,,,
37,"Стоматология ""ЗУБ и К""",+7 (7142) 26 72 29,+7 776 079 19 25,"ул. Чкалова, д. 14",09:00-17:00,,,,,
38,"Центр слуха ""GESUNDHEIT""",+7 (7142) 54 06 61,+7 701 749 59 82,"ул. Амангельды, д. 72",,,,,,
39,"Медцентр ""КОКТЕМ-3""",+7 (7142) 54 84 45,+7 777 635 53 96,"ул. Летунова, д. 79",,,,,,
40,"Стоматология ""32""",+7 (7142) 55 30 03,+7 776 127 64 82,"ул. Кобланды батыра, д. 38",,,,,,
41,Стоматология на Майлина 18,+7 (7142) 57 25 65,+7 777 255 32 63,"ул. Майлина, д. 18",,,,,,
42,Стоматология в мкр 9,+7 777 328 57 66,+7 777 562 16 33,"мкр 9, д. 4А",,,,,,
43,Стоматология на Аль-Фараби 123,+7 (7142) 90 02 39,+7 777 134 16 88,"пр. Аль-Фараби, д. 123",09:00-18:00,,,,,
44,"Стоматология ""ВИТА""",+7 (7142) 51 20 08,+7 777 302 70 23,"ул. Абая, д. 160",,,,,,
45,"Стоматологический центр ""НУР""",+7 (7142) 28 34 29,+7 747 131 98 77,"ул. Мауленова, д. 12/4",10:00-18:00,,,,,
46,"Стоматология ""АЙМАН""",+7 (7142) 28 46 72,+7 705 138 04 70,"ул. Карбышева, д. 19",,,,,,
47,Кабинет дерматолога на Чехова 102,+7 (7142) 56 81 40,+7 777 636 26 32,"ул. Чехова, д. 102",,,,,,
48,"Медицинская клиника ""АНДРОФАРМ""",+7 (7142) 22 88 16,+7 777 220 78 05,"мкр 8, д. 3А",,,,,,
49,"Стоматологический кабинет ""ЕМ БЕРГЕН""",+7 (7142) 55 38 13,+7 777 139 51 27,"ул. Кобланды батыра, д. 31/1",,,,,,
50,Центр доктора Бубновского,+7 (7142) 26 55 91,+7 775 827 93 14,"пр. Абая, д. 147",,,,,,
51,"Клиника ""ELIZAVETA""",+7 (7142) 21 22 83,+7 777 742 85 17,"ул. Баймагамбетова, д. 302",09:00-18:00,,,,,
52,"Стоматологическая клиника ""КРОКУС""",+7 (7142) 50 10 10,+7 700 801 88 88,"ул. Дощанова, д. 19",,,,,,
53,"Стоматология ""ДАНТИСТ""",+7 (7142) 57 47 01,+7 705 746 99 02,"ул. Бертрана Рубинштейна, д. 81",,,,,,
54,"Стоматология ""BEST""",+7 705 832 30 57,,"ул. Байтурсынова, д. 45",,,,,,
55,"Диагностический центр ""MEDICAL FORTE""",+7 708 475 11 49,+7 771 780 02 09,"пр. Кобланды батыра, д. 21",,,,,,
56,Кабинет кардиолога-ревматолога на Пушкина 54,+7 (7142) 53 45 42,+7 705 303 79 82,"ул. Пушкина, д. 54",09:00-20:00,,,,,
57,"Стоматология ""ЖЕМЧУЖИНА СТОМЕД"" в мкр 8",+7 (7142) 22 58 03,+7 707 662 60 27,"мкр 8, д. 19",,,,,,
58,"Клиника ""MEDICAL PARK""",+7 775 814 86 73,+7 705 418 47 30,"ул. Дощанова, д. 137/2",,,,,,
59,Кабинет педиатра при аптеке «Домик аптекаря»,+7 777 445 50 97,,"мкр 8, д. 8А",,,,,,
60,Кабинет УЗИ на Амангельды 90,+7 775 890 53 58,,"ул. Амангельды, д. 90, каб. 16",09:00-18:00,,,,,
61,Кабинет травматолога на Леонида Беды 26,+7 747 648 64 58,+7 707 398 93 44,"ул. Леонида Беды, д. 26",,,,,,
62,Врачебный кабинет на Леонида Беды 26,+7 777 508 87 09,,"ул. Леонида Беды, д. 26",,,,,,
63,"Стоматологический кабинет ""PREMIUM DENT""",+7 (7142) 50 33 27,+7 777 391 25 95,"ул. Гоголя, д. 87",09:00-17:00,,,,,
64,Кабинет стоматолога на Кобланды батыра 21Б,+7 (7142) 75 35 66,+7 705 506 37 53,"ул. Кобланды батыра, д. 21Б",,,,,,
65,"Стоматология ""БЕРИК & К""",+7 701 456 95 57,+7 (7132) 54 30 31,"ул. Касымханова, д. 114",09:00-18:00,,,,,
66,Стоматологический кабинет при аптеке «Домик аптекаря»,+7 777 379 13 74,+7 777 379 13 75,"мкр 8, д. 8А",,,,,,
67,Стоматология на Леонида Беды 26,+7 777 304 15 63,+7 701 764 06 80,"ул. Леонида Беды, д. 26",,,,,,
68,Врачебный кабинет при аптеке «Забота» на Байтурсынова,+7 701 345 01 88,+7 (7142) 54 29 56,"ул. Байтурсынова, д. 59",,,,,,
69,"Стоматология ""ДЕНТА""",+7 (7142) 53 21 34,,"ул. Пушкина, д. 65",,,,,,
70,"Стоматология ""А-СТОМ""",+7 (7142) 54 34 86,+7 777 230 53 80,"ул. Амангельды, д. 76",,,,,,
71,Медцентр на Абая 162,+7 (7142) 75 46 57,,"ул. Абая, д. 162",,,,,,
72,"Медцентр ""ЗДОРОВЫЙ ПОЗВОНОЧНИК""",+7 (7142) 26 61 61,+7 777 826 61 61,"ул. Чкалова, д. 14",09:00-17:00,,,,,
73,"Медцентр ""УРОМЕД"" в мкр Северо-Западный",+7 (7142) 75 28 07,+7 (7142) 75 23 07,"мкр Северо-Западный, 61-квартал, д. 17",,,,,,
74,"Медцентр ""САЕ""",+7 (7142) 56 52 52,,"ул. Каирбекова, д. 369",,,,,,
75,"Медцентр ""ШАПАҒАТ""",+7 (7142) 55 52 43,,"ул. Кобланды батыра, д. 31",,,,,,
76,"Медцентр ""УРОМЕД"" на Баймагамбетова",+7 (7142) 54 51 65,+7 705 450 30 80,"ул. Баймагамбетова, д. 168",,,,,,
77,Кабинет дерматолога при аптеке «Домик аптекаря»,+7 777 302 80 80,,"мкр 8, д. 8А",,,,,,
78,Врачебный кабинет при аптеке «Забота» на Кобланды батыра,+7 (7142) 26 52 65,,"ул. Кобланды батыра, д. 30А",,,,,,
79,Медцентр доктора Лобкова,+7 (7142) 54 92 35,,"ул. Баймагамбетова, д. 168",,,,,,
80,Врачебный кабинет в мкр 8,+7 777 234 46 09,+7 775 629 81 01,"мкр 8, д. 3А",,,,,,
81,Врачебный кабинет на Карбышева 51,+7 (7142) 28 38 21,,"ул. Карбышева, д. 51",,,,,,
82,Кабинет нарколога на Леонида Беды 26,+7 705 901 42 82,,"ул. Леонида Беды, д. 26",,,,,,
83,Кабинет терапевта при аптеке «85»,+7 777 580 05 78,+7 (7142) 54 21 05,"ул. Амангельды, д. 85",,,,,,
84,Врачебный кабинет при аптеке на Алтынсарина 17,+7 747 232 33 74,+7 702 643 55 20,"ул. Алтынсарина, д. 17",,,,,,
85,ЛОР-кабинет при аптеке «Домик аптекаря»,+7 705 544 99 39,+7 778 325 72 97,"мкр 8, д. 8А",,,,,,
86,Кабинет гинеколога-онколога при аптеке «Домик аптекаря»,+7 705 265 45 99,,"мкр 8, д. 8А",,,,,,
87,"Медцентр ""ЖЕМЧУЖИНА СТОМЕД"" на Наримановской",+7 771 944 41 93,+7 705 215 40 72,"ул. Наримановская, д. 54",,,,,,
